Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
555,SW,TX,DRT,Del Rio,Del Rio International,CS,None,2712,807,2.3606
556,AL,AK,ELI,Elim,Elim,CS,None,2694,2313,0.1647
557,WP,HI,HNM,Hana,Hana,CS,None,2676,2967,-0.0981
558,AL,AK,2C7,Shaktoolik,Shaktoolik,CS,None,2659,2779,-0.0432
559,AL,AK,MDM,Marshall,Marshall Don Hunter Sr,CS,None,2643,2505,0.0551
560,AL,AK,KTS,Brevig Mission,Brevig Mission,CS,None,2626,2413,0.0883
561,AL,AK,SNP,Saint Paul Island,St Paul Island,CS,None,2596,2595,0.0004
562,AL,AK,NUL,Nulato,Nulato,CS,None,2585,2440,0.0594
564,AL,AK,4A2,Atmautluak,Atmautluak,CS,None,2551,2019,0.2635
566,AL,AK,AKI,Akiak,Akiak,CS,None,2525,1966,0.2843
567,AL,AK,RSH,Russian Mission,Russian Mission,CS,None,2506,2132,0.1754
568,AL,AK,AFM,Ambler,Ambler,CS,None,2501,2175,0.1499
