Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
271,GL,MI,SAW,Gwinn,Sawyer International,P,N,53588,50938,0.052
272,NE,MA,MVY,Vineyard Haven,Martha's Vineyard,P,N,53343,49767,0.0719
273,SO,AL,DHN,Dothan,Dothan Regional,P,N,52855,47304,0.1173
274,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,51599,51966,-0.0071
275,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,49557,49702,-0.0029
276,SO,GA,CSG,Columbus,Columbus,P,N,49377,49773,-0.008
277,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,48722,49653,-0.0188
278,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,48086,50939,-0.056
279,NM,ID,TWF,Twin Falls,Joslin Field - Magic Valley Regional,P,N,47190,45736,0.0318
280,AL,AK,HOM,Homer,Homer,P,N,46867,46322,0.0118
282,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,46450,45958,0.0107
283,NM,ID,PIH,Arbon Valley,Pocatello Regional,P,N,46303,40188,0.1522
284,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,46246,41632,0.1108
285,CE,IA,SUX,Sioux City,Sioux Gateway/Brig Gen Bud Day Field,P,N,44999,41787,0.0769
286,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,44609,43738,0.0199
287,SO,SC,FLO,Florence,Florence Regional,P,N,44333,42058,0.0541
288,AL,AK,AKN,King Salmon,King Salmon,P,N,44139,34800,0.2684
289,AL,AK,SCC,Deadhorse,Deadhorse,P,N,43655,41849,0.0432
290,WP,CA,RDD,Redding,Redding Municipal,P,N,42775,42361,0.0098
291,WP,HI,LNY,Lanai City,Lanai,P,N,42061,37993,0.1071
292,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,40520,36433,0.1122
294,CE,MO,JLN,Joplin,Joplin Regional,P,N,40013,35498,0.1272
295,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,39541,37920,0.0427
